Good morning,早上好,常用短语,短语,2025-09-11
good,好,基础词汇,单词,2025-09-11
morning,早上,基础词汇,单词,2025-09-11
Let’s go,出发,常用短语,短语,2025-09-11
Go to bed,睡觉,常用短语,短语,2025-09-11
Get up,起床,常用短语,短语,2025-09-11
bed,床,基础词汇,单词,2025-09-11
night,夜晚,基础词汇,单词,2025-09-11
Good night,晚安,常用短语,短语,2025-09-11
nest,巢/窝,基础词汇,单词,2025-09-10
monkey,猴子,基础词汇,单词,2025-09-10
milk,牛奶,基础词汇,单词,2025-09-10
It’s milk,它是牛奶,常用短语,短语,2025-09-10
light,灯,基础词汇,单词,2025-09-06
it's red,它是红色,常用短语,短语,2025-09-06
king,国王,基础词汇,单词,2025-09-04
kite,风筝,基础词汇,单词,2025-09-04
lemon,柠檬,基础词汇,单词,2025-09-04
lion,狮子,基础词汇,单词,2025-09-04
color,颜色,基础词汇,单词,2025-09-04
green,绿色,基础词汇,单词,2025-09-04
blue,蓝,基础词汇,单词,2025-09-04
yellow,黄色,基础词汇,单词,2025-09-04
red,红色,基础词汇,单词,2025-09-04
ice,冰,基础词汇,单词,2025-09-02
cream,奶油,基础词汇,单词,2025-09-02
jelly,果冻,基础词汇,单词,2025-09-02
I want fish,我想吃鱼,常用短语,短语,2025-09-02
I want meat,我想吃肉,常用短语,短语,2025-09-02
here you are,给你,常用短语,短语,2025-09-02
here,这里,基础词汇,单词,2025-09-02
you,你,基础词汇,单词,2025-09-02
are,是,基础词汇,单词,2025-09-02
hop,单脚跳,基础词汇,单词,2025-08-30
clap,拍手,基础词汇,单词,2025-08-30
stand,站,基础词汇,单词,2025-08-30
sit,坐,基础词汇,单词,2025-08-30
down,下,基础词汇,单词,2025-08-30
up,上,基础词汇,单词,2025-08-30
and,和,基础词汇,单词,2025-08-30
stand up,起立,常用短语,短语,2025-08-30
sit down,坐下,常用短语,短语,2025-08-30
ring,戒指,基础词汇,单词,2025-09-21
quilt,被子,基础词汇,单词,2025-09-21
rug,地毯,基础词汇,单词,2025-09-21
table,桌子,基础词汇,单词,2025-09-21
sofa,沙发,基础词汇,单词,2025-09-21
queen,女王,基础词汇,单词,2025-09-21
is,是,基础词汇,单词,2025-09-24
this,这,基础词汇,单词,2025-09-24
what's this,这是什么？,常用短语,短语,2025-09-24
It's,它是,常用短语,短语,2025-09-24
It's bed,它是床,常用短语,短语,2025-09-24
It's a quilt,它是被子,常用短语,短语,2025-09-24
It's a table,它是桌子,常用短语,短语,2025-09-24
sun,太阳,基础词汇,单词,2025-09-25
snake,蛇,基础词汇,单词,2025-09-25
toy,玩具,基础词汇,单词,2025-09-25
cloth,衣服,基础词汇,单词,2025-09-25
T-shirt,短袖,基础词汇,单词,2025-09-25
sock,袜子,基础词汇,单词,2025-09-27
hat,帽子,基础词汇,单词,2025-09-27
pants,裤子,基础词汇,单词,2025-09-27
shoe,鞋子,基础词汇,单词,2025-09-27
my,我的,基础词汇,单词,2025-09-27
put on,穿上,常用短语,短语,2025-09-27
uncle,叔叔,基础词汇,单词,2025-10-08
umbrella,雨伞,基础词汇,单词,2025-10-08
vest,背心,基础词汇,单词,2025-10-08
violin,小提琴,基础词汇,单词,2025-10-08
many,许多,基础词汇,单词,2025-10-08
how many umbrellas,有多少雨伞,常用短语,短语,2025-10-09
three umbrellas,三把雨伞,常用短语,短语,2025-10-09
watch,看，手表,基础词汇,单词,2025-10-16
many mice,许多老鼠,常用短语,短语,2025-10-16
mouse,老鼠,基础词汇,单词,2025-10-16
mice,老鼠（复数）,基础词汇,单词,2025-10-16
mouse,老鼠,基础词汇,单词,2025-10-16
rat,老鼠，卑鄙小人,基础词汇,单词,2025-10-16
what's that,那是什么？,常用短语,短语,2025-10-16
be careful,小心,常用短语,短语,2025-10-16
can,能,基础词汇,单词,2025-10-16
I,我,基础词汇,单词,2025-10-16
jump,跳,基础词汇,单词,2025-10-16
clay,黏土,基础词汇,单词,2025-10-16
cold,寒冷的,基础词汇,单词,2025-10-22
hot,热的，辣的,基础词汇,单词,2025-10-22
hungry,饥饿的,基础词汇,单词,2025-10-22
thirsty,口渴的，渴的,基础词汇,单词,2025-10-22
have,吃，喝，拥有,基础词汇,单词,2025-10-22
some,一些,基础词汇,单词,2025-10-22
have some rice,吃些米饭,常用短语,短语,2025-10-22
have some water,喝点水,常用短语,短语,2025-10-22
I'm cold,我很冷,常用短语,短语,2025-10-22
people,人,基础词汇,单词,2025-10-23
am,是,基础词汇,单词,2025-10-23
This is my family,这是我的家人,常用短语,短语,2025-10-23
Mommy is a woman,妈妈是女人,常用短语,短语,2025-10-23
am,是,基础词汇,单词,2025-10-23
I am a girl,我是女孩,常用短语,短语,2025-10-23
Lily is a girl,Lily是女孩,常用短语,短语,2025-10-26
Mother is a woman,妈妈是女人,常用短语,短语,2025-10-26
flower,花，鲜花,基础词汇,单词,2025-10-26
tree,树木,基础词汇,单词,2025-10-26
hill,小山,基础词汇,单词,2025-10-26
river,河流,基础词汇,单词,2025-10-26
I eat every day,我每天都吃,常用短语,短语,2025-11-03
I sleep every day,我每天都睡觉,常用短语,短语,2025-11-03
It's,它是,常用短语,短语,2025-11-03
This is,这是,常用短语,短语,2025-11-05
